,,ENERJET,,CAPSA,,,
CHEVROLET,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,CAMARO - CORSICA,1862928 - 1839632, 11W75N / 13W75N ,149757X,13W,,
,CRUZE,,,1497596,15MBI,,
,"SAIL, SONIC",,,,,,
,CHEVETTE - SWIFT,,,1497596,15MBI,,
,CORSA - ASTRA 18,1862928 - 1839632, 11W75N / 13W75N ,1409603,11WI,,
,AVEO,,,,,,
,LUV-PICK UP,1862901,11T56,1497588,15APCG,,
,VECTRA,1862936,15MB90,140962X,13WI,,
,"CAVALIER, CELEBRITY",,,1497596,15MBI,,
,MONZA,1862936,15MB90,1497596,15MBI,,
,"BRIGADIER TANDEM, BUSES ESCOLARES",,,1635239,1731P,,
,CAPTIVA,,,1497596,15MBI,,
,SUPERBRIGADIER,,,1635239,1731P,,
,BUS LT-500,,,1635239,1731P,,
,,,,,,,
KIA,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,PICANTO,1839608,11D56,1511653,10FDI,,
,SOUL,,,1409603,11WI,,
,SEPHIA/CLARUS,,,1409603,11WI,,
,CAPITAL - PRIDE,,13DA80,1634798,1135,,
,RIO,1839632,13W75,1634798,1135,,
,RIO5,,,140962X,13WI,,
,CARENS - CARNIVAL - K2700,1839640,15M99,1497588,15APCG,,
,PREGIO,1839640,15M99,1497588,15APCG,,
,CERATO,1839632,13W75,140962X,13WI,,
,OPTIMA,1839632,13W75,1409611,13API,,
,SPORTAGE - SORENTO,1839640,15M99,1497588,15APCG,,
,,,,,,,
NISSAN,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,TIIDA,,11D56 / 11T56,163478X,11TODI,,
,"AD WAGON,ALMERA,ALMERA Q616,SUNNY",,13S85  / 11D56 / 13SB84,1409611,13API,,
,"ALTIMA - ALTIMA 3.5L, STANZA, VANETTE",1839616,13S85 / 13SB84,1888242,11API,,
,VERSA,,,,,,
,BLUEBIRD,1839616 - 1839608,13S85 / 11D56,1409611,13API,,
,"CARDIAN, FRONTIER, PULSAR, SILVIA, ALTMERA",,,,,,
,FIERA,,,1497588,15APCG,,
,"MAXIMA, PRIMERA",,,1409611,13API,,
,MARCH,,,,,,
,SENTRA L4 1.6 Y 2.0 -- SENTRA L4 2.0L,1839616, 13S85,1409611,13API,,
,QASHQAI,,,1497596,15MBI,,
,MURANO,,,,,,
,PATHFINDER - PATHFINDER R50  3.5L,1839640,15M99,1497588,15APCG,,
,"PATHFINDER R51  DIESEL, PATROL, SEVILLA",,,1497588,15APCG,,
,"TERRANO, URBAN",,,1497588,15APCG,,
,,,,,,,
PEUGEOT,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,106/205/206/305/306,1862928 - 1839632,11W63 / 13W75,140962X,13WI,,
,"207/308/206 (XR,XS,X3,XT,CC,SW) ",1862928 - 1839632,11W63 / 13W75,140962X,13WI,,
,"306 (XR, XS, XT)",1862928 - 1839632,11W63 / 13W75,140962X,13WI,,
,"405,  406",,13S85,1497596,15MBI,,
,407,1839632,13W75,1497596,15MBI,,
,505,1839632,13W75,1497596,15MBI,,
,607,1839632,13W75,1497596,15MBI,,
,307,,,,,,
,BOXER 1.9 DSL,1862936,15MB90,1497596,15MBI,,
,BOXER 2.5D / 2.8D,,,1497596,15MBI,,
,,,,,,,
TOYOTA,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,CALDINA,1862936,15MB90,1409638,15APCGI,,
,"COROLLA, CORONA, SPYDER",1839616 - 1839640,13S85  / 15M99,1634771,13TODI,,
,"CAVALIER, PROBOX, TERCEL, VITZ",1862901 - 1839608,11T56 / 11D56 ,,,,
,"YARIS , STARLET",1862901,11T56,149760X,11TOI,,
,"CARINA, PICKUP, SOLARA",1839616 - 1839640,13S85  / 15M99,1409638,15APCGI,,
,"CORSA, ESTIMA",1839608,11D56,1634771,13TODI,,
,AURIS,,,1635220,13TOI,,
,LAND CRUISER,1839616 - 1839640,13S85  / 15M99,1409638,15APCGI,,
,RAV4,1839616 - 1839640,13S85  / 15M99,1409611,13API,,
,"AVENSIS, CAVALIER",,,1409611,13API,,
,"CELICA, MR2",,,140962X,13WI,,
,URBAN CRUISER,,,,,,
,"4RUNNER, PRADO",,,1409611,13API,,
,"HI-ICE, HILUX",1839616 - 1839640,13S85  / 15M99,1409638,15APCGI,,
,LUCIDA,,,1409611,13API,,
,,,,,,,
HYUNDAI,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,i 10,,,,,,
,i 30,,,,,,
,"AZERA, MATRIX",,,1511653,10FDI,,
,SCOUPE,,,1409603,11WI,,
,SONATA ,1839616,13S85,1409611,13API,,
,"SONATA I , SONATA II, SANTA FE SM",,,1409611,13API,,
,ACCENT,1839632,13W75,1634798,1135,,
,COUPE TUBURON,,,1634798,1135,,
,ELANTRA,,,1634798,1135,,
,EXCELL,1839632,13W75,149757X,13W,,
,GENESIS,,,1497596,15MBI,,
,VERACRUZ,,,1409611,13API,,
,"CHASIS, GALLOPER",,,1497588,15APCG,,
,GRACE,,,1497588,15APCG,,
,GRACE VAN DLX7GS,,,1497588,15APCG,,
,"H1, H100 BUS",1839640,15M99,1497588,15APCG,,
,H350,,,1497588,15APCG,,
,"PANEL,  STAREX, SANTA FE CM",,,1497588,15APCG,,
,"TUCSON, VAN, TERRACAN, ",,,1409638,15APCGI,,
,"PORTER, PORTER SUPER",,,1497588,15APCG,,
,,,,,,,
DAEWOO,MODELO DE VEHICULO,SKU,MODELO,SKU,MODELO,,
,"TICO - MATIZ, LABO ,  DAMAS",1839608,11D56,1511653,10FDI,,
,CIELO,1862928 - 1839632,11W63 / 13W75,1409603,11WI,,
,"ESPERO, LANOS, NUBIRA SEDAN/WAGON",1862928 - 1839632,11W63 / 13W75,149757X,13W,,
