id,marca_auto,modelo_id,modelo_auto,version_auto,anio_auto,marca_bateria,modelo_bateria,sku_bateria
0,HAIMA,1,1,GASOLINA,,BOSCH,9PLACAS NS40ZL/40B19L.,115886
0,MAZDA,2,2,GASOLINA,2007+,BOSCH,NX110-5L MF(75AH/580A),1396013
0,HAIMA,2,2,GASOLINA,,BOSCH,9PLACAS NS40ZL/40B19L.,115886
0,MAZDA,3,3,GASOLINA,2000-,CAPSA,11WI / 13WI,1409603 / 140962X
0,MAZDA,3,3,GASOLINA,2000-,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,3,3,GASOLINA,2000-2005,CAPSA,11WI / 13WI,1409603 / 140962X
0,MAZDA,3,3,GASOLINA,2000-2005,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,3,3,GASOLINA,2006-2007,CAPSA,11WI / 13WI,1409603 / 140962X
0,MAZDA,3,3,GASOLINA,2006-2007,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,3,3,GASOLINA,2006-2007,ETNA,SD-13  AD/ W-13 PL,189823X / 1845802
0,MAZDA,3,3,GASOLINA,2007+,BOSCH,NX110-5L MF(75AH/580A),1396013
0,MAZDA,3,3,GASOLINA,2007+,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,3,3,GASOLINA,2007+,CAPSA,11WI / 13WI,1409603 / 140962X
0,MAZDA,3,3,GASOLINA,2007+,ETNA,SD-13  AD/ W-13 PL,189823X / 1845802
0,HAIMA,3,3,GASOLINA,,BOSCH,9PLACAS NS40ZL/40B19L.,115886
0,MAZDA,3,3,,,ENERJET,11W63 / 13W75,1862928 - 1839632
0,MAZDA,3,3,,,BOSCH, NX110-5L MF(75AH/580A),1396013
0,MAZDA,3,3,,,CAPSA,11WI,1409603
0,MAZDA,3,3,,,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,3,3,GASOLINA,,BOSCH, NX110-5L MF(75AH/580A),1396013
0,MAZDA,5,5,GASOLINA,2000-,CAPSA,11WI / 13WI,1409603 / 140962X
0,MAZDA,5,5,GASOLINA,2000-,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,5,5,GASOLINA,2000-2005,CAPSA,11WI / 13WI,1409603 / 140962X
0,MAZDA,5,5,GASOLINA,2000-2005,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,5,5,GASOLINA,2006+,CAPSA,11WI / 13WI,1409603 / 140962X
0,MAZDA,5,5,GASOLINA,2006+,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,5,5,GASOLINA,2006+,ETNA,SD-13  AD/ W-13 PL,189823X / 1845802
0,MAZDA,5,5,,,BOSCH, NX110-5L MF(75AH/580A),1396013
0,MAZDA,5,5,,,CAPSA,13WI,140962X
0,MAZDA,5,5,,,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,5,5,GASOLINA,,BOSCH, NX110-5L MF(75AH/580A),1396013
0,MAZDA,6,6,GASOLINA,2000-,CAPSA,11WI / 13WI,1409603 / 140962X
0,MAZDA,6,6,GASOLINA,2000-,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,6,6,GASOLINA,2000-2005,CAPSA,11WI / 13WI,1409603 / 140962X
0,MAZDA,6,6,GASOLINA,2000-2005,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,6,6,GASOLINA,2006+,CAPSA,11WI / 13WI,1409603 / 140962X
0,MAZDA,6,6,GASOLINA,2006+,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,6,6,GASOLINA,2006+,ETNA,SD-13  AD/ W-13 PL,189823X / 1845802
0,MAZDA,6,6,,,CAPSA,15APCG,1497588
0,MAZDA,6,6,,,ETNA,SD-13 PL / W-13 PL,189823X / 1845802
0,MAZDA,6,6,GASOLINA,,BOSCH,  S560D / S560DH,1102273 / 1102281 
0,PEUGEOT,106,106,GASOLINA,2000-,CAPSA,13WI / 15MBI,140962X / 1497596
0,PEUGEOT,106,106,GASOLINA,2000-,ETNA,W-11  AD / W13 AD,1898213  /1898221 
0,PEUGEOT,106,106,GASOLINA,2000-2005,CAPSA,13WI / 15MBI,140962X / 1497596
0,PEUGEOT,106,106,GASOLINA,2000-2005,ETNA,W-11  AD / W13 AD,1898213  /1898221 
0,PEUGEOT,106,106,GASOLINA,2006+,CAPSA,13WI / 15MBI,140962X / 1497596
0,PEUGEOT,106,106,GASOLINA,2006+,ETNA,W-11  AD / W13 AD,1898213  /1898221 
0,PEUGEOT,106,106,,,ENERJET,11W63 / 13W75,1862928 - 1839632
0,PEUGEOT,106,106,,,CAPSA,13WI,140962X
0,PEUGEOT,106,106,,,ETNA,W-11  AD / W13 AD,44083  /1898221 
0,PEUGEOT,106,106,GASOLINA,,BOSCH,  S455D ,118315X 
0,PEUGEOT,106,106,GASOLINA,,BOSCH,S560D,1102273
0,PEUGEOT,205,205,GASOLINA,2000-,CAPSA,13WI / 15MBI,140962X / 1497596
0,PEUGEOT,205,205,GASOLINA,2000-,ETNA,W-11  AD / W13 AD,1898213  /1898221 
0,PEUGEOT,205,205,GASOLINA,2000-2005,CAPSA,13WI / 15MBI,140962X / 1497596
0,PEUGEOT,205,205,GASOLINA,2000-2005,ETNA,W-11  AD / W13 AD,1898213  /1898221 
0,PEUGEOT,205,205,GASOLINA,2006+,CAPSA,13WI / 15MBI,140962X / 1497596
0,PEUGEOT,205,205,GASOLINA,2006+,ETNA,W-11  AD / W13 AD,1898213  /1898221 
0,PEUGEOT,205,205,,,ENERJET,11W63 / 13W75,1862928 - 1839632
0,PEUGEOT,205,205,,,CAPSA,13WI,140962X
0,PEUGEOT,205,205,,,ETNA,W-11  AD / W13 AD,44083  /1898221 
0,PEUGEOT,205,205,GASOLINA,,BOSCH,  S455D ,118315X 
0,PEUGEOT,205,205,GASOLINA,,BOSCH,S560D,1102273
0,PEUGEOT,206,206,GASOLINA,2000-,CAPSA,13WI / 15MBI,140962X / 1497596
0,PEUGEOT,206,206,GASOLINA,2000-,ETNA,W-11  AD / W13 AD,1898213  /1898221 
